TIME,Base,Minor,Rssi,,,,,Base,21,,
28:12.3,21,23,-60,,,,,,,,
28:12.3,21,48,-64,,,,,,,,
28:12.3,21,26,-57,,,,,,,,
28:12.3,21,25,-60,,,,,,,,
28:12.4,21,53,-68,,,,,,,,
28:12.4,21,55,-79,,,,,,,,
28:12.4,21,33,-67,,,,,,,,
28:12.4,21,35,-77,,,,,,,,
28:12.4,21,58,-75,,,,,,,,
28:12.4,21,42,-67,,,,,,,,
28:12.4,21,63,-73,,,,,,,,
28:12.4,21,21,-60,,,,,,,,
28:12.4,21,61,-66,,,,,,,,
28:12.4,21,28,-68,,,,,,,,
28:12.4,21,27,-71,,,,,,,,
28:12.4,21,46,-66,,,,,,,,
28:12.4,21,23,-59,,,,,,,,
28:12.4,21,47,-66,,,,,,,,
28:12.5,21,39,-69,,,,,,,,
28:12.5,21,38,-79,,,,,,,,
28:12.5,21,37,-71,,,,,,,,
28:12.5,21,64,-79,,,,,,,,
28:12.5,21,41,-53,,,,,,,,
28:12.5,21,63,-73,,,,,,,,
28:12.5,21,44,-69,,,,,,,,
28:12.5,21,21,-60,,,,,,,,
28:12.5,21,62,-69,,,,,,,,
28:12.5,21,61,-66,,,,,,,,
28:12.5,21,24,-52,,,,,,,,
28:12.5,21,23,-60,,,,,,,,
28:12.5,21,26,-58,,,,,,,,
28:12.5,21,47,-66,,,,,,,,
28:12.5,21,25,-59,,,,,,,,
28:12.6,21,39,-67,,,,,,,,
28:12.6,21,38,-79,,,,,,,,
28:12.6,21,56,-64,,,,,,,,
28:12.6,21,58,-77,,,,,,,,
28:12.6,21,64,-79,,,,,,,,
28:12.6,21,43,-67,,,,,,,,
28:12.6,21,62,-68,,,,,,,,
28:12.6,21,28,-67,,,,,,,,
28:12.6,21,24,-52,,,,,,,,
28:12.6,21,26,-57,,,,,,,,
28:12.6,21,47,-66,,,,,,,,
28:12.7,21,30,-70,,,,,,,,
28:12.7,21,39,-67,,,,,,,,
28:12.7,21,56,-64,,,,,,,,
28:12.7,21,37,-70,,,,,,,,
28:12.7,21,58,-75,,,,,,,,
28:12.7,21,22,-51,,,,,,,,
28:12.7,21,61,-66,,,,,,,,
28:12.7,21,27,-69,,,,,,,,
28:12.7,21,29,-76,,,,,,,,
28:12.7,21,24,-52,,,,,,,,
28:12.7,21,46,-66,,,,,,,,
28:12.7,21,26,-57,,,,,,,,
28:12.8,21,33,-68,,,,,,,,
28:12.8,21,39,-69,,,,,,,,
28:12.8,21,57,-69,,,,,,,,
28:12.8,21,43,-67,,,,,,,,
28:12.8,21,27,-68,,,,,,,,
28:12.8,21,46,-67,,,,,,,,
28:12.8,21,23,-58,,,,,,,,
28:12.9,21,53,-67,,,,,,,,
28:12.9,21,55,-81,,,,,,,,
28:12.9,21,39,-70,,,,,,,,
28:12.9,21,37,-70,,,,,,,,
28:12.9,21,63,-73,,,,,,,,
28:12.9,21,27,-67,,,,,,,,
28:12.9,21,46,-67,,,,,,,,
28:12.9,21,23,-60,,,,,,,,
28:12.9,21,48,-66,,,,,,,,
28:12.9,21,26,-56,,,,,,,,
28:12.9,21,25,-58,,,,,,,,
28:13.0,21,53,-67,,,,,,,,
28:13.0,21,31,-71,,,,,,,,
28:13.0,21,55,-87,,,,,,,,
28:13.0,21,39,-67,,,,,,,,
28:13.0,21,38,-78,,,,,,,,
28:13.0,21,42,-68,,,,,,,,
28:13.0,21,64,-74,,,,,,,,
28:13.0,21,41,-54,,,,,,,,
28:13.0,21,63,-74,,,,,,,,
28:13.0,21,22,-50,,,,,,,,
28:13.0,21,21,-60,,,,,,,,
28:13.0,21,61,-67,,,,,,,,
28:13.0,21,24,-53,,,,,,,,
28:13.0,21,46,-68,,,,,,,,
28:13.0,21,23,-60,,,,,,,,
28:13.0,21,48,-66,,,,,,,,
28:13.0,21,26,-56,,,,,,,,
28:13.0,21,47,-67,,,,,,,,
28:13.0,21,25,-58,,,,,,,,
28:13.1,21,31,-71,,,,,,,,
28:13.1,21,30,-70,,,,,,,,
28:13.1,21,33,-68,,,,,,,,
28:13.1,21,32,-74,,,,,,,,
28:13.1,21,39,-68,,,,,,,,
28:13.1,21,34,-75,,,,,,,,
28:13.1,21,56,-64,,,,,,,,
28:13.1,21,59,-72,,,,,,,,
28:13.1,21,37,-71,,,,,,,,
28:13.1,21,42,-68,,,,,,,,
28:13.1,21,64,-74,,,,,,,,
28:13.1,21,41,-55,,,,,,,,
28:13.1,21,63,-74,,,,,,,,
28:13.1,21,62,-68,,,,,,,,
28:13.1,21,40,-68,,,,,,,,
28:13.1,21,61,-67,,,,,,,,
28:13.1,21,28,-68,,,,,,,,
28:13.1,21,27,-67,,,,,,,,
28:13.1,21,23,-59,,,,,,,,
28:13.1,21,48,-65,,,,,,,,
28:13.2,21,32,-74,,,,,,,,
28:13.2,21,38,-78,,,,,,,,
28:13.2,21,57,-70,,,,,,,,
28:13.2,21,56,-64,,,,,,,,
28:13.2,21,36,-72,,,,,,,,
28:13.2,21,44,-68,,,,,,,,
28:13.2,21,21,-59,,,,,,,,
28:13.2,21,60,-78,,,,,,,,
28:13.2,21,28,-67,,,,,,,,
28:13.2,21,26,-56,,,,,,,,
28:13.3,21,39,-67,,,,,,,,
28:13.3,21,38,-78,,,,,,,,
28:13.3,21,57,-69,,,,,,,,
28:13.3,21,34,-75,,,,,,,,
28:13.3,21,37,-71,,,,,,,,
28:13.3,21,64,-74,,,,,,,,
28:13.3,21,63,-74,,,,,,,,
28:13.3,21,21,-59,,,,,,,,
28:13.3,21,43,-66,,,,,,,,
28:13.3,21,40,-68,,,,,,,,
28:13.3,21,24,-53,,,,,,,,
28:13.3,21,48,-65,,,,,,,,
28:13.3,21,47,-68,,,,,,,,
28:13.4,21,53,-67,,,,,,,,
28:13.4,21,39,-68,,,,,,,,
28:13.4,21,57,-69,,,,,,,,
28:13.4,21,35,-76,,,,,,,,
28:13.4,21,56,-64,,,,,,,,
28:13.4,21,59,-71,,,,,,,,
28:13.4,21,37,-72,,,,,,,,
28:13.4,21,22,-50,,,,,,,,
28:13.4,21,44,-68,,,,,,,,
28:13.4,21,40,-69,,,,,,,,
28:13.4,21,27,-68,,,,,,,,
28:13.4,21,29,-74,,,,,,,,
28:13.4,21,24,-53,,,,,,,,
28:13.4,21,23,-59,,,,,,,,
28:13.5,21,55,-83,,,,,,,,
28:13.5,21,33,-68,,,,,,,,
28:13.5,21,32,-73,,,,,,,,
28:13.5,21,54,-68,,,,,,,,
28:13.5,21,34,-76,,,,,,,,
28:13.5,21,59,-71,,,,,,,,
28:13.5,21,63,-74,,,,,,,,
28:13.5,21,22,-50,,,,,,,,
28:13.5,21,44,-68,,,,,,,,
28:13.5,21,40,-68,,,,,,,,
28:13.5,21,28,-68,,,,,,,,
28:13.5,21,29,-74,,,,,,,,
28:13.5,21,24,-53,,,,,,,,
28:13.5,21,46,-69,,,,,,,,
28:13.5,21,48,-65,,,,,,,,
28:13.5,21,26,-56,,,,,,,,
28:13.5,21,25,-58,,,,,,,,
28:13.6,21,53,-68,,,,,,,,
28:13.6,21,33,-69,,,,,,,,
28:13.6,21,32,-73,,,,,,,,
28:13.6,21,39,-67,,,,,,,,
28:13.6,21,34,-76,,,,,,,,
28:13.6,21,41,-55,,,,,,,,
28:13.6,21,22,-50,,,,,,,,
28:13.6,21,44,-68,,,,,,,,
28:13.6,21,21,-58,,,,,,,,
28:13.6,21,60,-79,,,,,,,,
28:13.6,21,61,-67,,,,,,,,
28:13.6,21,28,-68,,,,,,,,
28:13.6,21,24,-52,,,,,,,,
28:13.6,21,46,-67,,,,,,,,
28:13.6,21,26,-56,,,,,,,,
28:13.6,21,47,-68,,,,,,,,
28:13.7,21,54,-76,,,,,,,,
28:13.7,21,39,-67,,,,,,,,
28:13.7,21,38,-71,,,,,,,,
28:13.7,21,57,-66,,,,,,,,
28:13.7,21,56,-64,,,,,,,,
28:13.7,21,36,-79,,,,,,,,
28:13.7,21,41,-51,,,,,,,,
28:13.7,21,44,-62,,,,,,,,
28:13.7,21,21,-56,,,,,,,,
28:13.7,21,62,-73,,,,,,,,
28:13.7,21,28,-68,,,,,,,,
28:13.7,21,24,-53,,,,,,,,
28:13.7,21,23,-57,,,,,,,,
28:13.7,21,48,-64,,,,,,,,
28:13.7,21,26,-61,,,,,,,,
28:13.8,21,56,-68,,,,,,,,
28:13.8,21,36,-80,,,,,,,,
28:13.8,21,41,-51,,,,,,,,
28:13.8,21,60,-67,,,,,,,,
28:13.8,21,40,-84,,,,,,,,
28:13.8,21,24,-53,,,,,,,,
28:13.8,21,48,-67,,,,,,,,
